lat,lon,probability
59.479,25.079,0.465
59.479,25.1207,0.45
59.479,25.1624,0.44
59.479,25.204,0.447
59.479,25.2457,0.438
59.479,25.2874,0.455
59.479,25.329,0.447
59.479,25.3707,0.438
59.479,25.4124,0.435
59.479,25.454,0.435
59.479,25.4957,0.433
59.479,25.5374,0.442
59.479,25.579,0.423
59.479,25.6207,0.438
59.479,25.6624,0.445
59.479,25.704,0.412
59.479,25.7457,0.43
59.479,25.7874,0.442
59.479,25.829,0.41
59.479,25.8707,0.428
59.479,25.9124,0.428
59.479,25.954,0.428
59.479,25.9957,0.423
59.479,26.0374,0.4
59.479,26.079,0.423
59.479,26.1207,0.423
59.479,26.1624,0.428
59.479,26.204,0.393
59.479,26.2457,0.407
59.479,26.2874,0.425
59.479,26.329,0.428
59.479,26.3707,0.407
59.479,26.4124,0.4
59.479,26.454,0.415
59.479,26.4957,0.393
59.479,26.5374,0.405
59.479,26.579,0.39
59.479,26.6207,0.4
59.479,26.6624,0.393
59.479,26.704,0.398
59.479,26.7457,0.398
59.479,26.7874,0.398
59.479,28.0207,0.417
59.4707,24.3707,0.41
59.4707,24.4124,0.425
59.4707,24.654,0.495
59.4707,24.6957,0.493
59.4707,24.8207,0.493
59.4707,24.8624,0.458
59.4707,24.904,0.447
59.4707,24.9457,0.468
59.4707,24.9874,0.465
59.4707,25.029,0.447
59.4707,25.0707,0.468
59.4707,25.1124,0.46
59.4707,25.154,0.425
59.4707,25.1957,0.435
59.4707,25.2374,0.442
59.4707,25.279,0.447
59.4707,25.3207,0.445
59.4707,25.3624,0.442
59.4707,25.404,0.447
59.4707,25.4457,0.428
59.4707,25.4874,0.45
59.4707,25.529,0.425
59.4707,25.5707,0.45
59.4707,25.6124,0.442
59.4707,25.654,0.45
59.4707,25.6957,0.44
59.4707,25.7374,0.433
59.4707,25.779,0.433
59.4707,25.8207,0.438
59.4707,25.8624,0.412
59.4707,25.904,0.423
59.4707,25.9457,0.423
59.4707,25.9874,0.387
59.4707,26.029,0.4
59.4707,26.0707,0.403
59.4707,26.1124,0.423
59.4707,26.154,0.42
59.4707,26.1957,0.407
59.4707,26.2374,0.387
59.4707,26.279,0.395
59.4707,26.3207,0.42
59.4707,26.3624,0.41
59.4707,26.404,0.395
59.4707,26.4457,0.423
59.4707,26.4874,0.403
59.4707,26.529,0.398
59.4707,26.5707,0.398
59.4707,26.6124,0.398
59.4707,26.654,0.4
59.4707,26.6957,0.415
59.4707,26.7374,0.41
59.4707,26.779,0.4
59.4707,26.8207,0.417
59.4707,28.029,0.435
59.4624,24.3624,0.407
59.4624,24.404,0.44
59.4624,24.4457,0.433
59.4624,24.6707,0.507
59.4624,24.7124,0.502
59.4624,24.8124,0.477
59.4624,24.854,0.44
59.4624,24.8957,0.458
59.4624,24.9374,0.463
59.4624,24.979,0.477
59.4624,25.0207,0.47
59.4624,25.0624,0.46
59.4624,25.104,0.452
59.4624,25.1457,0.435
59.4624,25.1874,0.428
59.4624,25.229,0.43
59.4624,25.2707,0.445
59.4624,25.3124,0.463
59.4624,25.354,0.452
59.4624,25.3957,0.455
59.4624,25.4374,0.442
59.4624,25.479,0.458
59.4624,25.5207,0.433
59.4624,25.5624,0.445
59.4624,25.604,0.438
59.4624,25.6457,0.44
59.4624,25.6874,0.435
59.4624,25.729,0.425
59.4624,25.7707,0.407
59.4624,25.8124,0.445
59.4624,25.854,0.417
59.4624,25.8957,0.403
59.4624,25.9374,0.407
59.4624,25.979,0.403
59.4624,26.0207,0.395
59.4624,26.0624,0.398
59.4624,26.104,0.423
59.4624,26.1457,0.423
59.4624,26.1874,0.415
59.4624,26.229,0.393
59.4624,26.2707,0.382
59.4624,26.3124,0.393
59.4624,26.354,0.42
59.4624,26.3957,0.41
59.4624,26.4374,0.407
59.4624,26.479,0.425
59.4624,26.5207,0.405
59.4624,26.5624,0.393
59.4624,26.604,0.4
59.4624,26.6457,0.42
59.4624,26.6874,0.425
59.4624,26.729,0.433
59.4624,26.7707,0.423
59.4624,26.8124,0.412
59.4624,26.854,0.423
59.4624,28.029,0.407
59.454,24.3374,0.435
59.454,24.379,0.435
59.454,24.4207,0.435
59.454,24.4624,0.433
59.454,24.554,0.493
59.454,24.6624,0.507
59.454,24.704,0.505
59.454,24.7874,0.49
59.454,24.829,0.488
59.454,24.8707,0.477
59.454,24.9124,0.47
59.454,24.954,0.485
59.454,24.9957,0.475
59.454,25.0374,0.468
59.454,25.079,0.458
59.454,25.1207,0.45
59.454,25.1624,0.442
59.454,25.204,0.438
59.454,25.2457,0.445
59.454,25.2874,0.447
59.454,25.329,0.463
59.454,25.3707,0.463
59.454,25.4124,0.435
59.454,25.454,0.433
59.454,25.4957,0.452
59.454,25.5374,0.433
59.454,25.579,0.455
59.454,25.6207,0.438
59.454,25.6624,0.435
59.454,25.704,0.407
59.454,25.7457,0.428
59.454,25.7874,0.43
59.454,25.829,0.415
59.454,25.8707,0.405
59.454,25.9124,0.393
59.454,25.954,0.398
59.454,25.9957,0.4
59.454,26.0374,0.393
59.454,26.079,0.42
59.454,26.1207,0.412
59.454,26.1624,0.403
59.454,26.204,0.403
59.454,26.2457,0.403
59.454,26.2874,0.417
59.454,26.329,0.382
59.454,26.3707,0.393
59.454,26.4124,0.393
59.454,26.454,0.417
59.454,26.4957,0.428
59.454,26.5374,0.4
59.454,26.579,0.398
59.454,26.6207,0.4
59.454,26.6624,0.42
59.454,26.704,0.42
59.454,26.7457,0.425
59.454,26.7874,0.417
59.454,26.829,0.395
59.454,26.8707,0.435
59.454,26.9124,0.435
59.454,28.0207,0.382
59.454,28.0624,0.393
59.4457,24.354,0.42
59.4457,24.3957,0.428
59.4457,24.4374,0.44
59.4457,24.479,0.438
59.4457,24.529,0.498
59.4457,24.5707,0.45
59.4457,24.654,0.5
59.4457,24.6957,0.49
59.4457,24.7374,0.502
59.4457,24.779,0.495
59.4457,24.8207,0.495
59.4457,24.8624,0.482
59.4457,24.904,0.47
59.4457,24.9457,0.468
59.4457,24.9874,0.465
59.4457,25.029,0.463
59.4457,25.0707,0.458
59.4457,25.1124,0.445
59.4457,25.154,0.44
59.4457,25.1957,0.438
59.4457,25.2374,0.44
59.4457,25.279,0.452
59.4457,25.3207,0.455
59.4457,25.3624,0.455
59.4457,25.404,0.435
59.4457,25.4457,0.45
59.4457,25.4874,0.44
59.4457,25.529,0.438
59.4457,25.5707,0.43
59.4457,25.6124,0.433
59.4457,25.654,0.438
59.4457,25.6957,0.405
59.4457,25.7374,0.42
59.4457,25.779,0.42
59.4457,25.8207,0.415
59.4457,25.8624,0.405
59.4457,25.904,0.398
59.4457,25.9457,0.398
59.4457,25.9874,0.41
59.4457,26.029,0.39
